ID,Name,Source,Date,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester,Year_Month,Order,isodate,445,Year_Quarter,Deutschdatum,RollingForecastYear,RollingForecastPeriod
20160101,1/01/2016,User,1/01/2016 0:00,6,Saturday,1,1,1,January,1,1,2016,1,3,2016,2,2016 01,1,42370,1,2016 1,,2016 - Actuals,-66
20160201,1/02/2016,User,1/02/2016 0:00,2,Tuesday,1,32,6,February,2,1,2016,1,3,2016,2,2016 02,2,42401,2,2016 1,,2016 - Actuals,-65
20160301,1/03/2016,User,1/03/2016 0:00,3,Wednesday,1,61,10,March,3,1,2016,1,3,2016,2,2016 03,3,42430,3,2016 1,,2016 - Actuals,-64
20160401,1/04/2016,User,1/04/2016 0:00,6,Saturday,1,92,14,April,4,2,2016,1,4,2016,2,2016 04,4,42461,3,2016 2,,2016 - Actuals,-63
20160501,1/05/2016,User,1/05/2016 0:00,1,Monday,1,122,19,May,5,2,2016,1,4,2016,2,2016 05,5,42491,5,2016 2,,2016 - Actuals,-62
20160601,1/06/2016,User,1/06/2016 0:00,4,Thursday,1,153,23,June,6,2,2016,1,4,2016,2,2016 06,6,42522,6,2016 2,,2016 - Actuals,-61
20160701,1/07/2016,User,1/07/2016 0:00,6,Saturday,1,183,27,July,7,3,2016,2,1,2017,1,2016 07,7,42552,6,2016 3,,2016 - Actuals,-60
20160801,1/08/2016,User,1/08/2016 0:00,2,Tuesday,1,214,32,August,8,3,2016,2,1,2017,1,2016 08,8,42583,8,2016 3,,2016 - Actuals,-59
20160901,1/09/2016,User,1/09/2016 0:00,5,Friday,1,245,36,September,9,3,2016,2,1,2017,1,2016 09,9,42614,9,2016 3,,2016 - Actuals,-58
20161001,1/10/2016,User,1/10/2016 0:00,7,Sunday,1,275,40,October,10,4,2016,2,2,2017,1,2016 10,10,42644,10,2016 4,,2016 - Actuals,-57
20161101,1/11/2016,User,1/11/2016 0:00,3,Wednesday,1,306,45,November,11,4,2016,2,2,2017,1,2016 11,11,42675,11,2016 4,,2016 - Actuals,-56
20161201,1/12/2016,User,1/12/2016 0:00,5,Friday,1,336,49,December,12,4,2016,2,2,2017,1,2016 12,12,42705,12,2016 4,,2016 - Actuals,-55
20170101,1/01/2017,User,1/01/2017 0:00,1,Monday,1,1,1,January,1,1,2017,1,3,2017,2,2017 01,13,42736,1,2017 1,,2017 - Actuals,-54
20170201,1/02/2017,User,1/02/2017 0:00,4,Thursday,1,32,5,February,2,1,2017,1,3,2017,2,2017 02,14,42767,2,2017 1,,2017 - Actuals,-53
20170301,1/03/2017,User,1/03/2017 0:00,4,Thursday,1,60,9,March,3,1,2017,1,3,2017,2,2017 03,15,42795,3,2017 1,,2017 - Actuals,-52
20170401,1/04/2017,User,1/04/2017 0:00,7,Sunday,1,91,13,April,4,2,2017,1,4,2017,2,2017 04,16,42826,3,2017 2,,2017 - Actuals,-51
20170501,1/05/2017,User,1/05/2017 0:00,2,Tuesday,1,121,18,May,5,2,2017,1,4,2017,2,2017 05,17,42856,5,2017 2,,2017 - Actuals,-50
20170601,1/06/2017,User,1/06/2017 0:00,5,Friday,1,152,22,June,6,2,2017,1,4,2017,2,2017 06,18,42887,6,2017 2,,2017 - Actuals,-49
20170701,1/07/2017,User,1/07/2017 0:00,7,Sunday,1,182,26,July,7,3,2017,2,1,2018,1,2017 07,19,42917,6,2017 3,,2017 - Actuals,-48
20170801,1/08/2017,User,1/08/2017 0:00,3,Wednesday,1,213,31,August,8,3,2017,2,1,2018,1,2017 08,20,42948,8,2017 3,,2017 - Actuals,-47
20170901,1/09/2017,User,1/09/2017 0:00,6,Saturday,1,244,35,September,9,3,2017,2,1,2018,1,2017 09,21,42979,9,2017 3,,2017 - Actuals,-46
20171001,1/10/2017,User,1/10/2017 0:00,1,Monday,1,274,40,October,10,4,2017,2,2,2018,1,2017 10,22,43009,9,2017 4,,2017 - Actuals,-45
20171101,1/11/2017,User,1/11/2017 0:00,4,Thursday,1,305,44,November,11,4,2017,2,2,2018,1,2017 11,23,43040,11,2017 4,,2017 - Actuals,-44
20171201,1/12/2017,User,1/12/2017 0:00,6,Saturday,1,335,48,December,12,4,2017,2,2,2018,1,2017 12,24,43070,12,2017 4,,2017 - Actuals,-43
20180101,1/01/2018,User,1/01/2018 0:00,2,Tuesday,1,1,1,January,1,1,2018,1,3,2018,2,2018 01,25,43101,1,2018 1,,2018 - Actuals,-42
20180201,1/02/2018,User,1/02/2018 0:00,5,Friday,1,32,5,February,2,1,2018,1,3,2018,2,2018 02,26,43132,2,2018 1,,2018 - Actuals,-41
20180301,1/03/2018,User,1/03/2018 0:00,5,Friday,1,60,9,March,3,1,2018,1,3,2018,2,2018 03,27,43160,3,2018 1,,2018 - Actuals,-40
20180401,1/04/2018,User,1/04/2018 0:00,1,Monday,1,91,14,April,4,2,2018,1,4,2018,2,2018 04,28,43191,3,2018 2,,2018 - Actuals,-39
20180501,1/05/2018,User,1/05/2018 0:00,3,Wednesday,1,121,18,May,5,2,2018,1,4,2018,2,2018 05,29,43221,5,2018 2,,2018 - Actuals,-38
20180601,1/06/2018,User,1/06/2018 0:00,6,Saturday,1,152,22,June,6,2,2018,1,4,2018,2,2018 06,30,43252,6,2018 2,,2018 - Actuals,-37
