ID,Name,Source,Date,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester,Year_Month,Order,isodate,445,Year_Quarter,Deutschdatum,RollingForecastYear,RollingForecastPeriod
20180701,1/07/2018,User,1/07/2018 0:00,1,Monday,1,182,27,July,7,3,2018,2,1,2019,1,2018 07,31,43282,6,2018 3,,2018 - Actuals,-36
20180801,1/08/2018,User,1/08/2018 0:00,4,Thursday,1,213,31,August,8,3,2018,2,1,2019,1,2018 08,32,43313,8,2018 3,,2018 - Actuals,-35
20180901,1/09/2018,User,1/09/2018 0:00,7,Sunday,1,244,35,September,9,3,2018,2,1,2019,1,2018 09,33,43344,9,2018 3,,2018 - Actuals,-34
20181001,1/10/2018,User,1/10/2018 0:00,2,Tuesday,1,274,40,October,10,4,2018,2,2,2019,1,2018 10,34,43374,9,2018 4,,2018 - Actuals,-33
20181101,1/11/2018,User,1/11/2018 0:00,5,Friday,1,305,44,November,11,4,2018,2,2,2019,1,2018 11,35,43405,11,2018 4,,2018 - Actuals,-32
20181201,1/12/2018,User,1/12/2018 0:00,7,Sunday,1,335,48,December,12,4,2018,2,2,2019,1,2018 12,36,43435,12,2018 4,,2018 - Actuals,-31
20190101,1/01/2019,User,1/01/2019 0:00,3,Wednesday,1,1,1,January,1,1,2019,1,3,2019,2,2019 01,37,43466,1,2019 1,,2019 - Actuals,-30
20190201,1/02/2019,User,1/02/2019 0:00,6,Saturday,1,32,5,February,2,1,2019,1,3,2019,2,2019 02,38,43497,2,2019 1,,2019 - Actuals,-29
20190301,1/03/2019,User,1/03/2019 0:00,6,Saturday,1,60,9,March,3,1,2019,1,3,2019,2,2019 03,39,43525,3,2019 1,,2019 - Actuals,-28
20190401,1/04/2019,User,1/04/2019 0:00,2,Tuesday,1,91,14,April,4,2,2019,1,4,2019,2,2019 04,40,43556,3,2019 2,,2019 - Actuals,-27
20190501,1/05/2019,User,1/05/2019 0:00,4,Thursday,1,121,18,May,5,2,2019,1,4,2019,2,2019 05,41,43586,5,2019 2,,2019 - Actuals,-26
20190601,1/06/2019,User,1/06/2019 0:00,7,Sunday,1,152,22,June,6,2,2019,1,4,2019,2,2019 06,42,43617,6,2019 2,,2019 - Actuals,-25
20190701,1/07/2019,User,1/07/2019 0:00,2,Tuesday,1,182,27,July,7,3,2019,2,1,2020,1,2019 07,43,43647,6,2019 3,,2019 - Actuals,-24
20190801,1/08/2019,User,1/08/2019 0:00,5,Friday,1,213,31,August,8,3,2019,2,1,2020,1,2019 08,44,43678,8,2019 3,,2019 - Actuals,-23
20190901,1/09/2019,User,1/09/2019 0:00,1,Monday,1,244,36,September,9,3,2019,2,1,2020,1,2019 09,45,43709,9,2019 3,,2019 - Actuals,-22
20191001,1/10/2019,User,1/10/2019 0:00,3,Wednesday,1,274,40,October,10,4,2019,2,2,2020,1,2019 10,46,43739,9,2019 4,,2019 - Actuals,-21
20191101,1/11/2019,User,1/11/2019 0:00,6,Saturday,1,305,44,November,11,4,2019,2,2,2020,1,2019 11,47,43770,11,2019 4,,2019 - Actuals,-20
20191201,1/12/2019,User,1/12/2019 0:00,1,Monday,1,335,49,December,12,4,2019,2,2,2020,1,2019 12,48,43800,12,2019 4,,2019 - Actuals,-19
20200101,1/01/2020,User,1/01/2020 0:00,4,Thursday,1,1,1,January,1,1,2020,1,3,2020,2,2020 01,49,43831,1,2020 1,,2020 - Actuals,-18
20200201,1/02/2020,User,1/02/2020 0:00,7,Sunday,1,32,5,February,2,1,2020,1,3,2020,2,2020 02,50,43862,2,2020 1,,2020 - Actuals,-17
20200301,1/03/2020,User,1/03/2020 0:00,1,Monday,1,61,10,March,3,1,2020,1,3,2020,2,2020 03,51,43891,3,2020 1,,2020 - Actuals,-16
20200401,1/04/2020,User,1/04/2020 0:00,4,Thursday,1,92,14,April,4,2,2020,1,4,2020,2,2020 04,52,43922,3,2020 2,,2020 - Actuals,-15
20200501,1/05/2020,User,1/05/2020 0:00,6,Saturday,1,122,18,May,5,2,2020,1,4,2020,2,2020 05,53,43952,5,2020 2,,2020 - Actuals,-14
20200601,1/06/2020,User,1/06/2020 0:00,2,Tuesday,1,153,23,June,6,2,2020,1,4,2020,2,2020 06,54,43983,6,2020 2,,2020 - Actuals,-13
20200701,1/07/2020,User,1/07/2020 0:00,4,Thursday,1,183,27,July,7,3,2020,2,1,2021,1,2020 07,55,44013,6,2020 3,,2020 - Actuals,-12
20200801,1/08/2020,User,1/08/2020 0:00,7,Sunday,1,214,31,August,8,3,2020,2,1,2021,1,2020 08,56,44044,8,2020 3,,2020 - Actuals,-11
20200901,1/09/2020,User,1/09/2020 0:00,3,Wednesday,1,245,36,September,9,3,2020,2,1,2021,1,2020 09,57,44075,9,2020 3,,2020 - Actuals,-10
20201001,1/10/2020,User,1/10/2020 0:00,5,Friday,1,275,40,October,10,4,2020,2,2,2021,1,2020 10,58,44105,10,2020 4,,2020 - Actuals,-9
20201101,1/11/2020,User,1/11/2020 0:00,1,Monday,1,306,45,November,11,4,2020,2,2,2021,1,2020 11,59,44136,11,2020 4,,2020 - Actuals,-8
20201201,1/12/2020,User,1/12/2020 0:00,3,Wednesday,1,336,49,December,12,4,2020,2,2,2021,1,2020 12,60,44166,12,2020 4,,2020 - Actuals,-7
20210101,1/01/2021,User,1/01/2021 0:00,7,Friday,1,1,1,January,1,1,2021,1,3,2021,2,2021 01,61,44196,1,2021 1,,2021 - Actuals,-6
20210201,1/02/2021,User,1/02/2021 0:00,8,Saturday,1,32,5,February,2,1,2021,1,3,2021,2,2021 02,62,44226,2,2021 1,,2021 - Actuals,-5
20210301,1/03/2021,User,1/03/2021 0:00,9,Sunday,1,61,10,March,3,1,2021,1,3,2021,2,2021 03,62,44256,3,2021 1,,2021 - Actuals,-4
20210401,1/04/2021,User,1/04/2021 0:00,10,Monday,1,92,14,April,4,2,2021,1,4,2021,2,2021 04,63,44286,3,2021 2,,2021 - Actuals,-3
20210501,1/05/2021,User,1/05/2021 0:00,11,Tuesday,1,122,18,May,5,2,2021,1,4,2021,2,2021 05,63,44316,5,2021 2,,2021 - Actuals,-2
20210601,1/06/2021,User,1/06/2021 0:00,12,Wednesday,1,153,23,June,6,2,2021,1,4,2021,2,2021 06,64,44346,6,2021 2,,2021 - Actuals,-1
20210701,1/07/2021,User,1/07/2021 0:00,13,Thursday,1,183,27,July,7,3,2021,2,1,2022,1,2021 07,64,44376,6,2021 3,,2021 - Rolling Forecast,1
20210801,1/08/2021,User,1/08/2021 0:00,14,Friday,1,214,31,August,8,3,2021,2,1,2022,1,2021 08,65,44406,8,2021 3,,2021 - Rolling Forecast,2
20210901,1/09/2021,User,1/09/2021 0:00,15,Saturday,1,245,36,September,9,3,2021,2,1,2022,1,2021 09,65,44436,9,2021 3,,2021 - Rolling Forecast,3
20211001,1/10/2021,User,1/10/2021 0:00,16,Sunday,1,275,40,October,10,4,2021,2,2,2022,1,2021 10,66,44466,10,2021 4,,2021 - Rolling Forecast,4
20211101,1/11/2021,User,1/11/2021 0:00,17,Monday,1,306,45,November,11,4,2021,2,2,2022,1,2021 11,66,44496,11,2021 4,,2021 - Rolling Forecast,5
20211201,1/12/2021,User,1/12/2021 0:00,18,Tuesday,1,336,49,December,12,4,2021,2,2,2022,1,2021 12,67,44526,12,2021 4,,2021 - Rolling Forecast,6
